name,full_name,tally,panel,ensembl,location,uniprot,tags,OMIM,panels,panel_names,disease_group,disease_sub_group,mode_of_inheritance,confidence_level,len,pLI,pRec,pNull,%modelled
MECOM,MDS1 and EVI1 complex locus,5,,ENSG00000085276,(build: 38)3:169083499-169663618,Q03112,,165215,175|478|484|519|545,Bleeding and platelet disorders|Cytopenia - NOT Fanconi anaemia|DDG2P|Fetal anomalies|Inherited bleeding disorders,Haematological and immunological disorders|NA,Haemostasis disorders|NA,Monoallelic,2|3|4,1230,0.999085313,0.000914686,3.49E-10,0.008943089
BMP6,bone morphogenetic protein 6,1,,ENSG00000153162,(build: 38)6:7726797-7881422,P22004,,112266,515,Iron metabolism disorders,NA,NA,Monoallelic,4,513,0.895081718,0.104875894,4.24E-05,0.269005848
HEPH,hephaestin,2,,ENSG00000089472,(build: 38)X:66162549-66268867,Q9BQS7,,300167,159|515,Cytopaenias and congenital anaemias|Iron metabolism disorders,Haematological disorders|NA,Anaemias and red cell disorders|NA,NA|X-Linked,1|4,1158,0.009589268,0.990316598,9.41E-05,0
SLC11A2,solute carrier family 11 member 2,3,,ENSG00000110911,(build: 38)12:50979401-51028566,P49281,,600523,159|515|518,Cytopaenias and congenital anaemias|Iron metabolism disorders|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Biallelic,3|4,568,0.006235237,0.992896182,0.000868581,0.040492958
STEAP3,STEAP3 metalloreductase,2,,ENSG00000115107,(build: 38)2:119223831-119265652,Q658P3,,609671,515|518,Iron metabolism disorders|Rare anaemia,NA,NA,Monoallelic|NA,2|4,488,3.94E-07,0.202974067,0.797025539,0.43852459
TMPRSS6,"transmembrane protease, serine 6",6,,ENSG00000187045,(build: 38)22:37065436-37109563,Q8IU80,,609862,159|285|478|484|515|518,Cytopaenias and congenital anaemias|DDG2P|Fetal anomalies|Intellectual disability|Iron metabolism disorders|Rare anaemia,Haematological disorders|NA|Neurology and neurodevelopmental disorders,Anaemias and red cell disorders|NA|Neurodevelopmental disorders,Biallelic,2|3|4,811,3.34E-06,0.99700676,0.002989896,0
TF,transferrin,3,,ENSG00000091513,(build: 38)3:133745956-133779006,P13726,,190000,159|515|518,Cytopaenias and congenital anaemias|Iron metabolism disorders|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Biallelic,2|3|4,,,,,0.8
GLRX5,glutaredoxin 5,11,,ENSG00000182512,(build: 38)14:95533503-95544724,Q86SX6,,609588,112|159|302|467|469|471|515|518|531|539,Cardiomyopathies - including childhood onset|Cytopaenias and congenital anaemias|Inborn errors of metabolism|Iron metabolism disorders|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Pyruvate dehydrogenase (PDH) deficiency|Rare anaemia|Undiagnosed metabolic disorders,Haematological disorders|Metabolic disorders|NA,Anaemias and red cell disorders|Mitochondrial|NA|Specific metabolic abnormalities,Biallelic,3|4,157,0.626214087,0.342826079,0.030959834,0.732484076
CDAN1,codanin 1,4,,ENSG00000140326,(build: 38)15:42723559-42737126,Q8IWY9,,607465,159|478|515|518,Cytopaenias and congenital anaemias|Fetal anomalies|Iron metabolism disorders|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Biallelic,3|4,1227,0.928144193,0.071855806,1.10E-09,0
FTH1,ferritin heavy chain 1,1,,ENSG00000167996,(build: 38)11:61959718-61967660,P02794,,134770,515,Iron metabolism disorders,NA,NA,Monoallelic,4,183,0.918437495,0.081030258,0.000532248,0.994535519
ABCB7,ATP binding cassette subfamily B member 7,13,,ENSG00000131269,(build: 38)X:75053172-75156732,O75027,,300135,112|159|20|285|467|469|471|474|478|484|515|518|539,Cardiomyopathies - including childhood onset|Cytopaenias and congenital anaemias|DDG2P|Fetal anomalies|Hereditary ataxia|Inborn errors of metabolism|Intellectual disability|Iron metabolism disorders|Mitochondrial disorders|Molecular autopsy|Neurodegenerative disorders - adult onset|Possible mitochondrial disorder - nuclear genes|Rare anaemia,Haematological disorders|Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Anaemias and red cell disorders|Mitochondrial|Motor Disorders of the CNS|NA|Neurodevelopmental disorders,X-Linked,1|3|4,752,0.995047823,0.004952071,1.06E-07,0
ACVR1,activin A receptor type 1,7,,ENSG00000115170,(build: 38)2:157736444-157875862,Q04771,,102576,1|285|309|478|484|515|53,DDG2P|Ehlers Danlos syndromes|Fetal anomalies|Intellectual disability|Iron metabolism disorders|Skeletal dysplasia|Thoracic aortic aneurysm or dissection,Cardiovascular disorders|NA|Neurology and neurodevelopmental disorders|Rheumatological disorders|Skeletal disorders,Connective tissue disorders and aortopathies|Connective tissues disorders|NA|Neurodevelopmental disorders|Skeletal dysplasias,Biallelic|Monoallelic|NA,1|2|4,509,0.956448193,0.043547277,4.53E-06,0.662082515
SERPINC1,serpin family C member 1,3,,ENSG00000117601,(build: 38)1:173903804-173917378,P01008,,107300,175|515|516,Inherited bleeding disorders|Iron metabolism disorders|Thrombophilia,Haematological and immunological disorders|NA,Haemostasis disorders|NA,Biallelic|Both,4,464,0.993263587,0.006735301,1.11E-06,0.952586207
SLC25A38,solute carrier family 25 member 38,10,,ENSG00000144659,(build: 38)3:39383348-39397351,Q96DW6,,610819,112|159|285|469|471|478|484|515|518|539,Cardiomyopathies - including childhood onset|Cytopaenias and congenital anaemias|DDG2P|Fetal anomalies|Intellectual disability|Iron metabolism disorders|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Rare anaemia,Haematological disorders|Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Anaemias and red cell disorders|Mitochondrial|NA|Neurodevelopmental disorders,Biallelic,2|3|4,304,0.068217829,0.917991739,0.013790432,0
CYBRD1,cytochrome b reductase 1,1,,ENSG00000071967,(build: 38)2:171522247-171558133,Q53TN4,,605745,515,Iron metabolism disorders,NA,NA,Biallelic,4,286,0.351788246,0.635181702,0.013030052,0.996503497
HRG,histidine rich glycoprotein,2,,ENSG00000113905,(build: 38)3:186660216-186678240,P04196,,142640,175|516,Inherited bleeding disorders|Thrombophilia,Haematological and immunological disorders|NA,Haemostasis disorders|NA,Monoallelic,4,525,1.70E-12,0.015031312,0.984968688,0
TFPI,tissue factor pathway inhibitor,2,,ENSG00000003436,(build: 38)2:187464230-187565760,P10646,,152310,175|516,Inherited bleeding disorders|Thrombophilia,Haematological and immunological disorders|NA,Haemostasis disorders|NA,Monoallelic|NA,1|2,304,0.025322956,0.961709941,0.012967104,0.664473684
PLAT,"plasminogen activator, tissue type",2,,ENSG00000104368,(build: 38)8:42175233-42207724,P00750,,173370,175|516,Inherited bleeding disorders|Thrombophilia,Haematological and immunological disorders|NA,Haemostasis disorders|NA,Biallelic|Monoallelic,4,562,0.00019718,0.994713518,0.005089303,0.788256228
PROC,"protein C, inactivator of coagulation factors Va and VIIIa",2,,ENSG00000115718,(build: 38)2:127418427-127429246,P04070,,612283,175|516,Inherited bleeding disorders|Thrombophilia,Haematological and immunological disorders|NA,Haemostasis disorders|NA,Both,4,461,0.032475443,0.95852531,0.008999247,0.689804772
SERPIND1,serpin family D member 1,2,,ENSG00000099937,(build: 38)22:20773879-20787720,P05546,,142360,175|516,Inherited bleeding disorders|Thrombophilia,Haematological and immunological disorders|NA,Haemostasis disorders|NA,Monoallelic,4,499,2.80E-05,0.53873994,0.461232104,0.95991984
PROZ,"protein Z, vitamin K dependent plasma glycoprotein",2,,ENSG00000126231,(build: 38)13:113158654-113172383,P22891,,176895,175|516,Inherited bleeding disorders|Thrombophilia,Haematological and immunological disorders|NA,Haemostasis disorders|NA,Both|NA,1|2,400,3.84E-09,0.099664407,0.90033559,0.79
F3,"coagulation factor III, tissue factor",1,,ENSG00000117525,(build: 38)1:94529225-94541800,P13726,,134390,516,Thrombophilia,NA,NA,Both,2,295,0.132021361,0.84631334,0.021665299,0.8
PROS1,protein S,2,,ENSG00000184500,(build: 38)3:93873033-93974066,P07225,,176880,175|516,Inherited bleeding disorders|Thrombophilia,Haematological and immunological disorders|NA,Haemostasis disorders|NA,Both,4,676,0.000209234,0.995112544,0.004678222,0.127218935
PROCR,protein C receptor,2,,ENSG00000101000,(build: 38)20:35172073-35216240,Q9UNN8,,600646,175|516,Inherited bleeding disorders|Thrombophilia,Haematological and immunological disorders|NA,Haemostasis disorders|NA,Both|NA,1|2,238,0.010130889,0.825337126,0.164531985,0.806722689
SRP72,signal recognition particle 72,3,,ENSG00000174780,(build: 38)4:56466915-56503680,O76094,,602122,159|519|525,Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia|Inherited predisposition to acute myeloid leukaemia (AML),Haematological disorders|NA,Anaemias and red cell disorders|NA,Monoallelic,1|2,671,0.014188139,0.985758825,5.30E-05,0.467958271
DSC1,desmocollin 1,1,,ENSG00000134765,(build: 38)18:31129236-31162856,Q08554,,125643,556,Palmoplantar keratodermas,NA,NA,NA,1,894,4.39E-08,0.987788202,0.012211755,0.605145414
PERP,"PERP, TP53 apoptosis effector",1,,ENSG00000112378,(build: 38)6:138088505-138107511,Q96FX8,,609301,556,Palmoplantar keratodermas,NA,NA,Both,1,193,0.141632279,0.779214092,0.079153629,0
FLG,filaggrin,3,,ENSG00000143631,(build: 38)1:152302175-152325203,P20930,,135940,484|556|565,DDG2P|Palmoplantar keratodermas|Rare genetic inflammatory skin disorders,NA,NA,Biallelic|Monoallelic,1|4,4061,-1,-1,-1,0.022408274
LOR,loricrin,1,,ENSG00000203782,(build: 38)1:153259700-153262122,P23490,,152445,556,Palmoplantar keratodermas,NA,NA,Monoallelic,4,312,0.179479999,0.644903259,0.175616741,0
CTSC,cathepsin C,4,,ENSG00000109861,(build: 38)11:88293592-88337787,P53634,,602365,309|469|471|556,Cardiomyopathies - including childhood onset|Molecular autopsy|Palmoplantar keratodermas|Skeletal dysplasia,NA|Skeletal disorders,NA|Skeletal dysplasias,Biallelic,2|4,463,0.000816868,0.931218436,0.067964696,0.94600432
CASP14,caspase 14,1,,ENSG00000105141,(build: 38)19:15049384-15058293,P31944,,605848,556,Palmoplantar keratodermas,NA,NA,Biallelic,4,242,0.001233881,0.8500091,0.148757019,0
HPGD,15-hydroxyprostaglandin dehydrogenase,5,,ENSG00000164120,(build: 38)4:174490177-174523154,P15428,,601688,285|309|478|484|557,Autosomal recessive primary hypertrophic osteoarthropathy|DDG2P|Fetal anomalies|Intellectual disability|Skeletal dysplasia,NA|Neurology and neurodevelopmental disorders|Skeletal disorders,NA|Neurodevelopmental disorders|Skeletal dysplasias,Biallelic|Both,2|4,266,0.003282508,0.82765093,0.169066562,0.95112782
SLCO2A1,solute carrier organic anion transporter family member 2A1,2,,ENSG00000174640,(build: 38)3:133932696-134052184,Q92959,,601460,309|557,Autosomal recessive primary hypertrophic osteoarthropathy|Skeletal dysplasia,NA|Skeletal disorders,NA|Skeletal dysplasias,Biallelic,4,643,2.25E-09,0.667044938,0.33295506,0.01399689
POGLUT1,protein O-glucosyltransferase 1,3,,ENSG00000163389,(build: 38)3:119468938-119494708,Q8NBL1,,615618,285|559,Intellectual disability|Pigmentary skin disorders,NA|Neurology and neurodevelopmental disorders,NA|Neurodevelopmental disorders,Monoallelic|NA,1|4,392,0.000114466,0.988930599,0.010954934,0.908163265
SLC29A3,solute carrier family 29 member 3,7,,ENSG00000198246,(build: 38)10:71319258-71363385,Q9BZD2,,612373,126|152|309|472|559|92,Familial diabetes|Hearing loss|Hypogonadotropic hypogonadism|Monogenic diabetes|Pigmentary skin disorders|Skeletal dysplasia,Endocrine disorders|Hearing and ear disorders|NA|Skeletal disorders,Disorders of unusual phenotypes|Hypothalamic and pituitary disorders|NA|Non-syndromic hearing loss|Skeletal dysplasias,Biallelic,1|3|4,475,2.99E-08,0.090364089,0.909635881,0
SNAI2,snail family transcriptional repressor 2,3,,ENSG00000019549,(build: 38)8:48917768-48921740,O43623,,602150,126|559,Hearing loss|Pigmentary skin disorders,Hearing and ear disorders|NA,NA|Non-syndromic hearing loss,Biallelic|Both,3|4,268,0.871690015,0.126608641,0.001701344,0
TMC8,transmembrane channel like 8,4,,ENSG00000167895,(build: 38)17:78130770-78142968,Q8IU68,,605829,558|559|562,Epidermodysplasia verruciformis|Multiple monogenic benign skin tumours|Pigmentary skin disorders,NA,NA,Biallelic,0|4,726,5.57E-12,0.107886357,0.892113643,0
USB1,U6 snRNA biogenesis phosphodiesterase 1,8,,ENSG00000103005,(build: 38)16:57999546-58021618,Q9BQ65,,613276,159|285|478|484|519|559,Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia|DDG2P|Fetal anomalies|Intellectual disability|Pigmentary skin disorders,Haematological disorders|NA|Neurology and neurodevelopmental disorders,Anaemias and red cell disorders|NA|Neurodevelopmental disorders,Biallelic|NA,1|2|4,265,0.122774716,0.852732539,0.024492746,0.724528302
POFUT1,protein O-fucosyltransferase 1,2,,ENSG00000101346,(build: 38)20:32207880-32238667,Q9H488,,607491,559,Pigmentary skin disorders,NA,NA,Monoallelic,4,388,0.987586067,0.012408968,4.96E-06,0.927835052
ASIP,agouti signaling protein,2,,ENSG00000101440,(build: 38)20:34194569-34269344,P42127,,600201,559,Pigmentary skin disorders,NA,NA,NA,1,132,0.069626696,0.738100345,0.192272958,0.393939394
IRF4,interferon regulatory factor 4,2,,ENSG00000137265,(build: 38)6:391739-411447,Q15306,,601900,558|559,Multiple monogenic benign skin tumours|Pigmentary skin disorders,NA,NA,Monoallelic|NA,0|1,451,0.92222069,0.077759715,1.96E-05,0.237250554
MC1R,melanocortin 1 receptor,2,,ENSG00000258839,(build: 38)16:89912119-89920977,Q01726,,155555,558|559,Multiple monogenic benign skin tumours|Pigmentary skin disorders,NA,NA,Biallelic,0|4,317,3.25E-07,0.052370692,0.947628983,0
CIB1,calcium and integrin binding 1,2,,ENSG00000185043,(build: 38)15:90229975-90234047,Q99828,,602293,558|562,Epidermodysplasia verruciformis|Multiple monogenic benign skin tumours,NA,NA,Biallelic,0|4,191,0.016102965,0.883934356,0.099962679,0.994764398
IDH2,"isocitrate dehydrogenase (NADP(+)) 2, mitochondrial",10,,ENSG00000182054,(build: 38)15:90083045-90102504,P48735,,147650,159|285|309|402|467|469|47|471|563|564,Cardiomyopathies - including childhood onset|Cytopaenias and congenital anaemias|Dilated cardiomyopathy - teen and adult|Genetic epilepsy syndromes|Inborn errors of metabolism|Intellectual disability|Molecular autopsy|Mosaic skin disorders - deep sequencing|Skeletal dysplasia|Vascular skin disorders,Cardiovascular disorders|Haematological disorders|NA|Neurology and neurodevelopmental disorders|Skeletal disorders,Anaemias and red cell disorders|Cardiomyopathy|Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|Skeletal dysplasias,Monoallelic|Unknown,1|3|4,452,0.376558105,0.621177132,0.002264763,0.997787611
TMEM173,transmembrane protein 173,2,,ENSG00000184584,(build: 38)5:139475534-139482935,Q86WV6,,612374,563|565,Rare genetic inflammatory skin disorders|Vascular skin disorders,NA,NA,Monoallelic,4,379,0.032330621,0.926467553,0.041201826,0.635883905
AGGF1,angiogenic factor with G-patch and FHA domains 1,1,,ENSG00000164252,(build: 38)5:77029251-77065234,Q8N302,,608464,563,Vascular skin disorders,NA,NA,Monoallelic,1,714,6.10E-05,0.99880446,0.001134544,0
MAP3K3,mitogen-activated protein kinase kinase kinase 3,1,,ENSG00000198909,(build: 38)17:63622415-63696303,Q99759,,602539,564,Mosaic skin disorders - deep sequencing,NA,NA,Monoallelic,4,626,0.999526987,0.000473013,6.99E-11,0.199680511
NDUFB11,NADH:ubiquinone oxidoreductase subunit B11,19,,ENSG00000147123,(build: 38)X:47142216-47145504,Q9NX14,,300403,112|467|469|471|478|484|518|534|539|564,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Inborn errors of metabolism|Mitochondrial disorder with complex I deficiency|Mitochondrial disorders|Molecular autopsy|Mosaic skin disorders - deep sequencing|Possible mitochondrial disorder - nuclear genes|Rare anaemia,Metabolic disorders|NA,Mitochondrial|NA,Monoallelic|NA|X-Linked,2|4,153,0.750858556,0.239212377,0.009929067,0.62745098
G6PD,glucose-6-phosphate dehydrogenase,2,,ENSG00000160211,(build: 38)X:154531391-154547572,P11413,,305900,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,X-Linked,3|4,515,0.966391447,0.033596827,1.17E-05,0.998058252
HBD,hemoglobin subunit delta,2,,ENSG00000223609,(build: 38)11:5232678-5235370,P02042,,142000,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Unknown,2|4,147,0.000155108,0.25209084,0.747754052,0.986394558
HBE1,hemoglobin subunit epsilon 1,1,,ENSG00000213931,(build: 38)11:5268345-5505617,P02100,,142100,518,Rare anaemia,NA,NA,Biallelic,4,147,0.010814424,0.620147952,0.369037623,0.986394558
SPTB,"spectrin beta, erythrocytic",2,,ENSG00000070182,(build: 38)14:64746283-64879883,P11277,,182870,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Both,3|4,2137,0.999999748,2.52E-07,2.52E-22,0.333645297
UMPS,uridine monophosphate synthetase,6,,ENSG00000114491,(build: 38)3:124730366-124749273,P11172,,613891,285|469|471|478|484|518,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Intellectual disability|Molecular autopsy|Rare anaemia,NA|Neurology and neurodevelopmental disorders,NA|Neurodevelopmental disorders,Biallelic,3|4,480,0.000109217,0.819045719,0.180845063,0.985416667
RPL9,ribosomal protein L9,3,,ENSG00000163682,(build: 38)4:39454124-39458948,Error,,603686,159|518|519,Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Monoallelic,1|4,0,-1,-1,-1,0
GPI,glucose-6-phosphate isomerase,3,,ENSG00000105220,(build: 38)19:34359480-34402156,P06744,,172400,159|478|518,Cytopaenias and congenital anaemias|Fetal anomalies|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Biallelic,2|4,558,0.001581452,0.997145391,0.001273157,0.998207885
CYB5R3,cytochrome b5 reductase 3,4,,ENSG00000100243,(build: 38)22:42617840-42649568,P00387,,613213,285|478|484|518,DDG2P|Fetal anomalies|Intellectual disability|Rare anaemia,NA|Neurology and neurodevelopmental disorders,NA|Neurodevelopmental disorders,Biallelic|NA,2|4,301,0.210867104,0.780064349,0.009068547,0.996677741
RPL18,ribosomal protein L18,2,,ENSG00000063177,(build: 38)19:48615328-48619536,Q07020,,604179,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Monoallelic,1|2,188,0.554781181,0.442411564,0.002807255,0.994680851
AK1,adenylate kinase 1,3,,ENSG00000106992,(build: 38)9:127866480-127877743,P00568,,103000,159|285|518,Cytopaenias and congenital anaemias|Intellectual disability|Rare anaemia,Haematological disorders|NA|Neurology and neurodevelopmental disorders,Anaemias and red cell disorders|NA|Neurodevelopmental disorders,Biallelic,1|2|3,194,0.654809128,0.339455084,0.005735788,0.989690722
RHAG,Rh associated glycoprotein,2,,ENSG00000112077,(build: 38)6:49605158-49636839,Q02094,,180297,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Both,3|4,409,0.340299251,0.659088513,0.000612236,0
GSR,glutathione-disulfide reductase,2,,ENSG00000104687,(build: 38)8:30678061-30727926,P00390,,138300,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Unknown,1|4,522,0.012481214,0.979933676,0.00758511,0.915708812
PIEZO1,piezo type mechanosensitive ion channel component 1,5,,ENSG00000103335,(build: 38)16:88715343-88785211,Q92508,,611184,159|478|484|518|65,Cytopaenias and congenital anaemias|DDG2P|Fetal anomalies|Primary lymphoedema|Rare anaemia,Cardiovascular disorders|Haematological disorders|NA,Anaemias and red cell disorders|Lymphatic Disorders|NA,Biallelic|Both|Monoallelic,2|3|4,2521,0.53596901,0.405692827,0.058338163,0
KIF23,kinesin family member 23,4,,ENSG00000137807,(build: 38)15:69414246-69448427,Q02241,,605064,159|518|519,Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Monoallelic,3|4,960,0.999999791,2.09E-07,4.72E-19,0.121875
KCNN4,potassium calcium-activated channel subfamily N member 4,1,,ENSG00000104783,(build: 38)19:43766533-43781257,O15554,,602754,518,Rare anaemia,NA,NA,Monoallelic,4,427,8.36E-06,0.756144232,0.243847403,0.99765808
EPB42,erythrocyte membrane protein band 4.2,2,,ENSG00000166947,(build: 38)15:43106225-43221283,P16452,,177070,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Biallelic,3|4,691,1.56E-07,0.955587191,0.044412653,0
COX4I2,cytochrome c oxidase subunit 4I2,8,,ENSG00000131055,(build: 38)20:31637888-31645006,Q96KJ9,,607976,112|159|302|469|471|518|537|539,Cardiomyopathies - including childhood onset|Cytopaenias and congenital anaemias|Mitochondrial disorder with complex IV deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Rare anaemia|Undiagnosed metabolic disorders,Haematological disorders|Metabolic disorders|NA,Anaemias and red cell disorders|Mitochondrial|NA|Specific metabolic abnormalities,Biallelic,1|2|4,0,-1,-1,-1,0
C15orf41,chromosome 15 open reading frame 41,2,,ENSG00000186073,(build: 38)15:36579611-36810248,Q9Y2V0,,615626,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Biallelic,3|4,281,0.015552565,0.958545112,0.025902323,0
EPB41,erythrocyte membrane protein band 4.1,2,,ENSG00000159023,(build: 38)1:28887091-29120046,P11171,,130500,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Monoallelic,3|4,864,0.062109871,0.93788449,5.64E-06,0.321759259
XK,X-linked Kx blood group,5,,ENSG00000047597,(build: 38)X:37685759-37732130,P51811,,314850,285|469|47|471|518,Cardiomyopathies - including childhood onset|Dilated cardiomyopathy - teen and adult|Intellectual disability|Molecular autopsy|Rare anaemia,Cardiovascular disorders|NA|Neurology and neurodevelopmental disorders,Cardiomyopathy|NA|Neurodevelopmental disorders,Unknown|X-Linked,1|4,444,0.869601996,0.128623844,0.00177416,0
SPTA1,"spectrin alpha, erythrocytic 1",2,,ENSG00000163554,(build: 38)1:158610706-158686698,P02549,,182860,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Both,3|4,2419,5.85E-05,0.99994147,3.90E-16,0.158743282
HBG1,hemoglobin subunit gamma 1,2,,ENSG00000213934,(build: 38)11:5248083-5249892,P69891,,142200,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Monoallelic,1|4,147,0.02977947,0.59116387,0.379056661,0.986394558
HBG2,hemoglobin subunit gamma 2,2,,ENSG00000196565,(build: 38)11:5253190-5645789,P69892,,142250,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Monoallelic,1|4,147,0.24130351,0.644191317,0.114505173,0.986394558
TPI1,triosephosphate isomerase 1,2,,ENSG00000111669,(build: 38)12:6867119-6870948,P60174,,190450,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Biallelic,3|4,286,0.581366832,0.416368971,0.002264196,0.867132867
GSS,glutathione synthetase,6,,ENSG00000100983,(build: 38)20:34928430-34955817,P48637,,601002,159|285|402|469|471|518,Cardiomyopathies - including childhood onset|Cytopaenias and congenital anaemias|Genetic epilepsy syndromes|Intellectual disability|Molecular autopsy|Rare anaemia,Haematological disorders|NA|Neurology and neurodevelopmental disorders,Anaemias and red cell disorders|Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders,Biallelic,2|3|4,474,0.022518683,0.976828618,0.000652699,0.997890295
FTCD,formimidoyltransferase cyclodeaminase,7,,ENSG00000160282,(build: 38)21:46136262-46155567,O95954,,606806,285|302|469|471|478|484|518,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Intellectual disability|Molecular autopsy|Rare anaemia|Undiagnosed metabolic disorders,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,NA|Neurodevelopmental disorders|Specific metabolic abnormalities,Biallelic,2|3|4,541,4.30E-08,0.359852363,0.640147594,0
SF3B1,splicing factor 3b subunit 1,2,,ENSG00000115524,(build: 38)2:197389784-197435091,O75533,,605590,159|518,Cytopaenias and congenital anaemias|Rare anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Other|Unknown,1|4,1304,0.999999973,2.72E-08,1.62E-20,0.999233129
RAC2,Rac family small GTPase 2,2,,ENSG00000128340,(build: 38)22:37225261-37244448,P15153,,602049,159|519,Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,NA,1|2,192,0.87309232,0.125254152,0.001653528,0.994791667
GFI1,growth factor independent 1 transcriptional repressor,3,,ENSG00000162676,(build: 38)1:92474762-92486876,Q99684,,600871,126|159|519,Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia|Hearing loss,Haematological disorders|Hearing and ear disorders|NA,Anaemias and red cell disorders|NA|Non-syndromic hearing loss,Monoallelic|NA,1|3|4,422,0.029628557,0.923974536,0.046396907,0
ERCC6L2,ERCC excision repair 6 like 2,9,,ENSG00000182150,(build: 38)9:95875701-96014571,Q5T890,,615667,112|159|285|467|469|471|478|484|519,Cardiomyopathies - including childhood onset|Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia|DDG2P|Fetal anomalies|Inborn errors of metabolism|Intellectual disability|Mitochondrial disorders|Molecular autopsy,Haematological disorders|Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Anaemias and red cell disorders|Mitochondrial|NA|Neurodevelopmental disorders,Biallelic|NA|Unknown,1|3|4,1561,0.001555907,0.998179715,0.000264378,0.042280589
LAT,linker for activation of T-cells,3,,ENSG00000213658,(build: 38)16:28984826-28990783,O43561,,602354,159|175|519,Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia|Inherited bleeding disorders,Haematological and immunological disorders|Haematological disorders|NA,Anaemias and red cell disorders|Haemostasis disorders|NA,Biallelic,2,262,0.097433294,0.900968664,0.001598042,0
EFL1,elongation factor like GTPase 1,1,,ENSG00000140598,(build: 38)15:82130230-82262763,Q7Z2Z2,,617538,519,Cytopenia - NOT Fanconi anaemia,NA,NA,Biallelic,4,1120,-1,-1,-1,0.999107143
CSF3R,colony stimulating factor 3 receptor,2,,ENSG00000119535,(build: 38)1:36466043-36483278,Q99062,,138971,159|519,Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Biallelic,3|4,836,1.42E-06,0.989907376,0.010091208,0.36722488
WIPF1,WAS/WASL interacting protein family member 1,2,,ENSG00000115935,(build: 38)2:174559572-174682916,O43516,,602357,159|519,Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia,Haematological disorders|NA,Anaemias and red cell disorders|NA,Biallelic,3|4,503,0.944313925,0.055644647,4.14E-05,0.061630219
ACKR1,atypical chemokine receptor 1 (Duffy blood group),1,,ENSG00000213088,(build: 38)1:159203307-159206500,Q16570,,613665,519,Cytopenia - NOT Fanconi anaemia,NA,NA,Both,2,336,-1,-1,-1,0.086309524
